name,year,placement,source_url
Steven Buck,2015,Assistant Professor at University of Kentucky,https://are.berkeley.edu/job-candidates/past-placements
Lilia Chaidez,2015,Senior Economist at U.S. Government Accountability Office,https://are.berkeley.edu/job-candidates/past-placements
Sikandra Christian,2015,Post Doctoral Scholar at Paris School of Economics,https://are.berkeley.edu/job-candidates/past-placements
Rachel Gardner Clark,2015,Senior Utilities Economist at Tacoma Power,https://are.berkeley.edu/job-candidates/past-placements
Glynis Gawn,2015,Adjunct Professor at UC Merced,https://are.berkeley.edu/job-candidates/past-placements
Sam Heft-Neal,2015,Post Doctoral Scholar at Stanford University,https://are.berkeley.edu/job-candidates/past-placements
Marieke Kleemans,2015,Assistant Professor at University of Illinois-Urbana-Champaign,https://are.berkeley.edu/job-candidates/past-placements
Yongdong Liu,2015,Assistant Professor at University College London,https://are.berkeley.edu/job-candidates/past-placements
Stanislao Maldonado,2015,"Assistant Professor at Universidad del Rosario, Colombia",https://are.berkeley.edu/job-candidates/past-placements
Reid Stevens,2015,Assistant Professor at Texas A&M,https://are.berkeley.edu/job-candidates/past-placements
Megan Stevenson,2015,Post Doctoral Scholar at University of Pennsylvania,https://are.berkeley.edu/job-candidates/past-placements
Qu Tang,2015,Researcher at Chinese Academy of Agricultural Sciences,https://are.berkeley.edu/job-candidates/past-placements
Gina Waterfield,2015,Economist at Brattle Group,https://are.berkeley.edu/job-candidates/past-placements
Ciriacy-Wantrup Post Doctoral Placement,2015,Ciriacy-Wantrup Post Doctoral Placement at Ciriacy-Wantrup Post Doctoral Placement,https://are.berkeley.edu/job-candidates/past-placements
Rapahel Calel,2015,Assistant Professor at Georgetown University,https://are.berkeley.edu/job-candidates/past-placements
Manuel Barron,2014,Visiting Researcher at U.C. Berkeley,https://are.berkeley.edu/job-candidates/past-placements
Marshall Burke,2014,Assistant Professor at Stanford University,https://are.berkeley.edu/job-candidates/past-placements
Andrew Dustan,2014,Assistant Professor at Vanderbilt University,https://are.berkeley.edu/job-candidates/past-placements
Guojun He,2014,Assistant Professor at Hong Kong University of Science and Technology (HKUST),https://are.berkeley.edu/job-candidates/past-placements
Kyle Emerick,2014,Assistant Professor at Tufts University,https://are.berkeley.edu/job-candidates/past-placements
Diana Lee,2014,Assistant Professor at Occidental College,https://are.berkeley.edu/job-candidates/past-placements
Ayako Matsuda,2014,Post doctoral Fellow at University of Tokyo,https://are.berkeley.edu/job-candidates/past-placements
Erica Myers,2014,Assistant Professor at University of Illinois,https://are.berkeley.edu/job-candidates/past-placements
Renato Seixas,2014,Research Fellow at University of Sao Paulo in Ribeirao Preto,https://are.berkeley.edu/job-candidates/past-placements
Tiffani Shih,2014,Associate Research Economist at Precision Health Economics,https://are.berkeley.edu/job-candidates/past-placements
Matthew Zaragoza-Watkins,2014,E2e Postdoctoral Fellow/High-Meadows Postdoctoral Fellow at Massachusetts Institute of Technology/Environmental Defense Fund,https://are.berkeley.edu/job-candidates/past-placements
Di Zeng,2014,"Postdoctoral Scholar at University of California, Berkeley",https://are.berkeley.edu/job-candidates/past-placements
Ciriacy-Wantrup Post Doctoral Placement,2014,Ciriacy-Wantrup Post Doctoral Placement at Ciriacy-Wantrup Post Doctoral Placement,https://are.berkeley.edu/job-candidates/past-placements
Svenn Jensen,2014,Assistant Professor at Norwegian University of Life Sciences,https://are.berkeley.edu/job-candidates/past-placements
Maria Bowman,2013,Sustainable Livestock Economics Fellow at Natural Resources Defense Council,https://are.berkeley.edu/job-candidates/past-placements
Kate Foreman,2013,Consultant at NERA,https://are.berkeley.edu/job-candidates/past-placements
Catie Hausman,2013,Assistant Professor at University of Michigan,https://are.berkeley.edu/job-candidates/past-placements
Phu Viet (Frankie) Lee,2013,"Post Doctoral Fellow in Environment at Senior Researcher, Lower Mekong Public Policy Initiative (USAID)",https://are.berkeley.edu/job-candidates/past-placements
Maya Papineau,2013,Assistant Professor at Carleton University,https://are.berkeley.edu/job-candidates/past-placements
Jessica Rider,2013,Economist at Government Accountability Office,https://are.berkeley.edu/job-candidates/past-placements
Anna Spurlock,2013,Senior Scientific Engineering Associate at Lawrence Berkeley National Laboratory,https://are.berkeley.edu/job-candidates/past-placements
Chantal Toledo,2013,Postdoctoral Fellow at UC Berkeley,https://are.berkeley.edu/job-candidates/past-placements
Lunyu Xie,2013,"Assistant Professor at Renmin University, China",https://are.berkeley.edu/job-candidates/past-placements
Ciriacy-Wantrup Postdoctoral Placement,2013,Ciriacy-Wantrup Postdoctoral Placement at Ciriacy-Wantrup Postdoctoral Placement,https://are.berkeley.edu/job-candidates/past-placements
Neil Thompson,2013,Assistant Professor at MIT,https://are.berkeley.edu/job-candidates/past-placements
Jing Cai,2012,Assistant Professor at University of Michigan,https://are.berkeley.edu/job-candidates/past-placements
Sarah Dobson,2012,Assistant Professor at University of Alberta,https://are.berkeley.edu/job-candidates/past-placements
Luosha Du,2012,Consultant at The World Bank,https://are.berkeley.edu/job-candidates/past-placements
Fei Han,2012,Economist at International Monetary Fund,https://are.berkeley.edu/job-candidates/past-placements
Gianmarco Leon,2012,Assistant Professor at University of Pompeu Fabra,https://are.berkeley.edu/job-candidates/past-placements
Leslie Martin,2012,Assistant Professor at University of Melbourne,https://are.berkeley.edu/job-candidates/past-placements
Charles Seguin,2012,Assistant Professor at L'UniversitÃ© du QuÃ©bec Ã MontrÃ©al,https://are.berkeley.edu/job-candidates/past-placements
Steven Sexton,2012,Assistant Professor at NC State,https://are.berkeley.edu/job-candidates/past-placements
Alex Solis,2012,Assistant Professor at Uppsala University,https://are.berkeley.edu/job-candidates/past-placements
Ciriacy-Wantrup Postdoctoral Placements,2012,Ciriacy-Wantrup Postdoctoral Placements at Ciriacy-Wantrup Postdoctoral Placements,https://are.berkeley.edu/job-candidates/past-placements
David Anthoff,2012,Assistant Professor at University of Michigan,https://are.berkeley.edu/job-candidates/past-placements
Anthony Millner,2012,Research Fellow at London School of Economics,https://are.berkeley.edu/job-candidates/past-placements
Katrina Mullan,2012,Assistant Professor at University of Montana,https://are.berkeley.edu/job-candidates/past-placements
Helene Ollivier,2012,Research Fellow at University of Paris 1 Pantheon-Sorbonne and CNRS,https://are.berkeley.edu/job-candidates/past-placements
Rosangela Bando,2011,Economist at Inter-American Development Bank (IADB),https://are.berkeley.edu/job-candidates/past-placements
Damian Bickett,2011,Assistant Professor at Williamette University,https://are.berkeley.edu/job-candidates/past-placements
Howard Chong,2011,Assistant Professor at Cornell University,https://are.berkeley.edu/job-candidates/past-placements
Ben Crost,2011,Assistant Professor at University of Colorado,https://are.berkeley.edu/job-candidates/past-placements
Kyriakos Drivas,2011,"Postdoctoral Researcher at University of California, Berkeley",https://are.berkeley.edu/job-candidates/past-placements
Alan Fuchs,2011,Research Economist at UNDP,https://are.berkeley.edu/job-candidates/past-placements
Erick Gong,2011,Assistant Professor at Middlebury College,https://are.berkeley.edu/job-candidates/past-placements
Brian Gross,2011,Assistant Professor at Humboldt State University,https://are.berkeley.edu/job-candidates/past-placements
Santiago Guerrero,2011,Researcher at Central Bank of Mexico,https://are.berkeley.edu/job-candidates/past-placements
Melissa Hidrobo,2011,Postdoctoral Fellow at International Food Policy Research Institute (IFPRI),https://are.berkeley.edu/job-candidates/past-placements
Jenny Ifft,2011,Research Economist at USDA,https://are.berkeley.edu/job-candidates/past-placements
Koichiro Ito,2011,Assistant Professor at Boston University,https://are.berkeley.edu/job-candidates/past-placements
Kelly Jones,2011,Postdoctoral Fellow at International Food Policy Research Institute (IFPRI),https://are.berkeley.edu/job-candidates/past-placements
Peter Kelly,2011,Assistant Professor at Renmin University of China,https://are.berkeley.edu/job-candidates/past-placements
Joanne Lee,2011,Economist at Mathematica,https://are.berkeley.edu/job-candidates/past-placements
Fangwen Lu,2011,Assistant Professor at Renmin University of China,https://are.berkeley.edu/job-candidates/past-placements
Elizaveta Perova,2011,Economist at World Bank,https://are.berkeley.edu/job-candidates/past-placements
Biswo Poudel,2011,Visiting Scholar at UC Berkeley,https://are.berkeley.edu/job-candidates/past-placements
Lourdes Rodriguez-Chamussy,2011,Lecturer at George Washington University,https://are.berkeley.edu/job-candidates/past-placements
Tom Sproul,2011,Assistant Professor at University of Rhode Island,https://are.berkeley.edu/job-candidates/past-placements
Abdoulaye Sy,2011,World Bank,https://are.berkeley.edu/job-candidates/past-placements
Quoc Viet,2011,"Founder and President at Golden Bridge, Inc.",https://are.berkeley.edu/job-candidates/past-placements
Shanthi Nataraj,2010,Associate Economist at RAND,https://are.berkeley.edu/job-candidates/past-placements
Jill Luoto,2010,Associate Economist at RAND,https://are.berkeley.edu/job-candidates/past-placements
Jenny Liu,2010,Assistant Professor at Portland State University,https://are.berkeley.edu/job-candidates/past-placements
Maoyong Fan,2009,Assistant Professor at Ball State University,https://are.berkeley.edu/job-candidates/past-placements
Kristen Kiesel,2009,"Assistant Professor at California State University, Sacramento",https://are.berkeley.edu/job-candidates/past-placements
Zhen Lei,2009,Assistant Professor at Pennsylvania State University,https://are.berkeley.edu/job-candidates/past-placements
Clair Null,2009,Assistant Professor at Emory University,https://are.berkeley.edu/job-candidates/past-placements
Robert Santillano,2009,Researcher at Mathematica,https://are.berkeley.edu/job-candidates/past-placements
Jesse Tack,2009,Assistant Professor at Mississippi State University,https://are.berkeley.edu/job-candidates/past-placements
Rocio Titiunik,2009,Assistant Professor at University of Michigan,https://are.berkeley.edu/job-candidates/past-placements
Jenny Aker,2008,Assistant Professor at Tufts University,https://are.berkeley.edu/job-candidates/past-placements
Jennifer Brown,2008,Assistant Professor at Northwestern University,https://are.berkeley.edu/job-candidates/past-placements
Ricardo Cavazos,2008,Chief Economist at COFEPRIS,https://are.berkeley.edu/job-candidates/past-placements
CÃ©line FerrÃ©,2008,Economist (Young Professional) at The World Bank,https://are.berkeley.edu/job-candidates/past-placements
Rui Huang,2008,Assistant Professor at University of Connecticut,https://are.berkeley.edu/job-candidates/past-placements
Ryan Kellogg,2008,Assistant Professor at University of Michigan,https://are.berkeley.edu/job-candidates/past-placements
James Manley,2008,Assistant Professor at Towson University,https://are.berkeley.edu/job-candidates/past-placements
Lyngun Nie,2008,Economist at Washington Mutual Bank,https://are.berkeley.edu/job-candidates/past-placements
Hugo Salgado,2008,"Assistant Professor at Universidad de Concepcion, Chile",https://are.berkeley.edu/job-candidates/past-placements
Susan Stratton,2008,Assistant Professor at Smith College,https://are.berkeley.edu/job-candidates/past-placements
Felipe Vasquez,2008,"Professor at Universidad del Desarrollo in Concepcion, Chile",https://are.berkeley.edu/job-candidates/past-placements
Muzhe Yang,2008,Assistant Professor at Lehigh University,https://are.berkeley.edu/job-candidates/past-placements
Emma Aisbett,2007,Assistant Professor at Australian National University,https://are.berkeley.edu/job-candidates/past-placements
Sarah Baird,2007,"Postdoctoral Scholar at University of California, San Diego",https://are.berkeley.edu/job-candidates/past-placements
Xiangyi (Daniel) Meng,2007,"Assistant Professor at Central University of Finance and Economics, Beijing, China",https://are.berkeley.edu/job-candidates/past-placements
Ralf Steinhauser,2007,Research Fellow at Australian National University,https://are.berkeley.edu/job-candidates/past-placements
Hendrik Wolff,2007,Assistant Professor at University of Washington,https://are.berkeley.edu/job-candidates/past-placements
Christopher Busch,2006,Climate Economist at The Union of Concerned Scientists,https://are.berkeley.edu/job-candidates/past-placements
Claudio Ferraz,2006,"Research Economist at Instituto de Pesquisa Economica Aplicada (IPEA), Rio de Janeiro, Brasil",https://are.berkeley.edu/job-candidates/past-placements
Frederico Finan,2006,Assistant Professor at UCLA,https://are.berkeley.edu/job-candidates/past-placements
Meredith Fowlie2007 AAEA Outstanding Dissertation Award,2006,Assistant Professor at University of Michigan,https://are.berkeley.edu/job-candidates/past-placements
James Hilger,2006,Economist at Federal Trade Commission,https://are.berkeley.edu/job-candidates/past-placements
Bo MacInnis,2006,Research Fellow at University of Michigan,https://are.berkeley.edu/job-candidates/past-placements
Manisha Shah,2006,Assistant Professor at University of Melbourne,https://are.berkeley.edu/job-candidates/past-placements
Jaya Sil,2006,Risk Modeling Officer at Chase & Co,https://are.berkeley.edu/job-candidates/past-placements
Ruth Uwaifo Oyelere,2006,"Assistant Professor at Georgia Institute of Technology, GATECH",https://are.berkeley.edu/job-candidates/past-placements
Jennifer Alix,2005,"Assistant Professor at University of Montana, Missoula",https://are.berkeley.edu/job-candidates/past-placements
Tania Barham,2005,"Assistant Professor at University of Colorado, Boulder",https://are.berkeley.edu/job-candidates/past-placements
Tomoki Fujii,2005,Assistant Professor at Singapore Management University,https://are.berkeley.edu/job-candidates/past-placements
Fang Lai,2005,Assistant Professor at New York University,https://are.berkeley.edu/job-candidates/past-placements
Andrew McKim,2005,Program Economist at United States Agency for International Development,https://are.berkeley.edu/job-candidates/past-placements
Laura Schechter,2005,"Assistant Professor at University of Wisconsin, Madison",https://are.berkeley.edu/job-candidates/past-placements
Karina Schoengold,2005,"Assistant Professor at University of Nebraska, Lincoln",https://are.berkeley.edu/job-candidates/past-placements
Jason Scorse,2005,Assistant Professor at Monterey Institute of International Studies,https://are.berkeley.edu/job-candidates/past-placements
Guanming Shi,2005,"Assistant Professor at University of Wisconsin, Madison",https://are.berkeley.edu/job-candidates/past-placements
Aaron Swoboda,2005,Assistant Professor at University of Pittsburgh,https://are.berkeley.edu/job-candidates/past-placements
Yanhong Jin,2004,Assistant Professor at Texas A&M University,https://are.berkeley.edu/job-candidates/past-placements
Stephen Stohs,2004,"Researcher/Lecturer at University of California, San Diego",https://are.berkeley.edu/job-candidates/past-placements
Caridad Araujo,2003,Visiting Assistant Professor/Consultant at Georgetown University/World Bank,https://are.berkeley.edu/job-candidates/past-placements
Kathy Baylis,2003,"Assistant Professor at University of British Columbia, Vancouver",https://are.berkeley.edu/job-candidates/past-placements
Nick Brozovic,2003,"Assistant Professor at University of Illinois, Urbana Champaign",https://are.berkeley.edu/job-candidates/past-placements
Sean Cash,2003,"Assistant Professor at University of Alberta, Edmonton",https://are.berkeley.edu/job-candidates/past-placements
Greg Graff,2003,"Director of Research at Bio-Economic Research Associates, Cambridge, MA",https://are.berkeley.edu/job-candidates/past-placements
Karen Macours,2003,Assistant Professor at Johns Hopkins University,https://are.berkeley.edu/job-candidates/past-placements
Craig McIntosh,2003,"Assistant Professor at University of California, San Diego",https://are.berkeley.edu/job-candidates/past-placements
Wolfram Schlenker,2003,Assistant Professor at Columbia University,https://are.berkeley.edu/job-candidates/past-placements
Ximing Wu,2003,Assistant Professor at Texas A&M University,https://are.berkeley.edu/job-candidates/past-placements
